"DeviceName","DeviceDescription","ConnectionStatus","DeviceID","Timestamp"
"Bluetooth LE Device","Bluetooth LE Device","OK","BTHLE\DEV_5725D7CD4814\7&13F0A4C6&0&5725D7CD4814","2023-08-09 07:00:34"
"ACPI Fixed Feature Button","ACPI Fixed Feature Button","OK","ACPI\FIXEDBUTTON\2&DABA3FF&0","2023-08-09 07:00:34"
"Bluetooth Peripheral Device","Bluetooth Peripheral Device","OK","BTHENUM\{00001801-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Intel(R) Media SDK binaries","Intel(R) Media SDK binaries","OK","SWD\DRIVERENUM\MSDK_COMPONENT&4&768CA29&0","2023-08-09 07:00:34"
"Standard PS/2 Keyboard","Standard PS/2 Keyboard","OK","ACPI\MSFT0001\4&36F1FB5D&0","2023-08-09 07:00:34"
"Airdopes 138 Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&38D62565&0&C469608EF57B_C00000000","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#0000000000100000","2023-08-09 07:00:34"
"Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI","OK","ACPI\PNP0C14\MXM2","2023-08-09 07:00:34"
"Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)","USB xHCI Compliant Host Controller","OK","PCI\VEN_8086&DEV_A36D&SUBSYS_13311025&REV_10\3&11583659&0&A0","2023-08-09 07:00:34"
"Intel(R) Power Engine Plug-in","Intel(R) Power Engine Plug-in","OK","ACPI\INT33A1\1","2023-08-09 07:00:34"
"VMware VMCI Host Device","VMware VMCI Host Device","OK","ROOT\VMWVMCIHOSTDEV\0000","2023-08-09 07:00:34"
"Personal Area Network NAP Service","Personal Area Network NAP Service","OK","BTHENUM\{00001116-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"SAMSUNGDEVICE","SAMSUNGDEVICE","OK","BTHENUM\{A23D00BC-217C-123B-9C00-FC44577136EE}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Microsoft Hyper-V Virtual Disk Server","Microsoft Hyper-V Virtual Disk Server","OK","ROOT\STORVSP\0000","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\PNP0C02\IOTRAPS","2023-08-09 07:00:34"
"Synaptics HID Device","Synaptics HID Device","OK","HID\SYNA7DB5&COL04\5&22D87139&0&0003","2023-08-09 07:00:34"
"Realtek(R) Audio","Realtek Audio","OK","HDAUDIO\FUNC_01&VEN_10EC&DEV_0255&SUBSYS_10251331&REV_1000\4&2DCE035E&0&0001","2023-08-09 07:00:34"
"Microsoft AC Adapter","Microsoft AC Adapter","OK","ACPI\ACPI0003\4&36F1FB5D&0","2023-08-09 07:00:34"
"Intel(R) Wi-Fi 6 AX200 160MHz","Intel(R) Wi-Fi 6 AX200 160MHz","OK","PCI\VEN_8086&DEV_2723&SUBSYS_00848086&REV_1A\4&1251E546&0&00EE","2023-08-09 07:00:34"
"NVIDIA GeForce GTX 1650","NVIDIA GeForce GTX 1650","OK","PCI\VEN_10DE&DEV_1F91&SUBSYS_13321025&REV_A1\4&121BEA1D&0&0008","2023-08-09 07:00:34"
"NVIDIA Virtual Audio Device (Wave Extensible) (WDM)","NVIDIA Virtual Audio Device (Wave Extensible) (WDM)","OK","ROOT\UNNAMED_DEVICE\0000","2023-08-09 07:00:34"
"NvModuleTracker Device","NvModuleTracker Device","OK","ROOT\UNNAMED_DEVICE\0001","2023-08-09 07:00:34"
"NVVHCI Enumerator","NVVHCI Enumerator","OK","ROOT\UNNAMED_DEVICE\0002","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4B-50EF-11ED-A079-806E6F6E6963}#0000000001100000","2023-08-09 07:00:34"
"Microsoft GS Wavetable Synth","Generic software device","OK","SWD\MMDEVAPI\MICROSOFTGSWAVETABLESYNTH","2023-08-09 07:00:34"
"Microsoft Print to PDF","Local Print Queue","OK","SWD\PRINTENUM\{C386184D-0F2A-42A2-9D90-ABAD4D4DAC9C}","2023-08-09 07:00:34"
"Intel(R) Serial IO I2C Host Controller - A369","Intel(R) Serial IO I2C Host Controller - A369","OK","PCI\VEN_8086&DEV_A369&SUBSYS_13311025&REV_10\3&11583659&0&A9","2023-08-09 07:00:34"
"Khushaxx A2DP SNK","Microsoft Bluetooth A2dp Sink","OK","BTHENUM\{0000110A-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
